,A,B,C,D,E
1,0,1,25,0.18,40
2,0,2,30,19.91,40
3,0,1,35,139.37,40
4,0.5,1,30,139.37,40
5,0.5,2,35,0.18,40
6,0.5,2,25,19.91,40
7,1,1,35,19.91,40
8,1,2,25,139.37,40
9,1,1,30,0.18,40
10,0,1,25,0.18,20
11,0,2,30,19.91,20
12,0,1,35,139.37,20
13,0.5,1,30,139.37,20
14,0.5,2,35,0.18,20
15,0.5,2,25,19.91,20
16,1,1,35,19.91,20
17,1,2,25,139.37,20
18,1,1,30,0.18,20
